Author,Book,Category,Reading Year,ISBN,Metadata Title,Metadata Author,Metadata Publisher,Metadata Year,Metadata Language,Metadata Cover URL Thumbnail,Metadata Cover URL Small Thumbnail,Number Of Copies
Keith Negley,Tough Guys have feelings too,Reading Challenge,1,9781909263666,Tough Guys Have Feelings Too,Keith Negley,National Geographic Books,2015,en,http://books.google.com/books/content?id=bBaREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=bBaREAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Poonam Mistry,How the Stars Came to Be,Reading Challenge,1,9781849766630,How The Stars Came To Be,Poonam Mistry,Tate Publishing(UK),2019,en,http://books.google.com/books/content?id=BkZCxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=BkZCxgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Swapna Reddy AND Bimmy Talib,Ballet Bunnies The New Class,Reading Challenge,1,9780593304938,Ballet Bunnies #1: The New Class,Swapna Reddy,National Geographic Books,2021,en,http://books.google.com/books/content?id=bjCOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=bjCOEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Kate Milner,My Name Is Not Refugee,Reading Challenge,1,9781911370062,My Name Is Not Refugee,Kate Milner,Barrington Stoke Picture Books,2017,en,http://books.google.com/books/content?id=ErZlvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=ErZlvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Rachel SuZanne,Rochelle Humes the MEGA Magic Teacher SWAP,Reading Challenge,1,9781787416017,The Mega Magic Teacher Shop,Rochelle Humes & Rachel Suzanne,Unknown,2020,en,http://books.google.com/books/content?id=u5WkzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=u5WkzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
CHITRA SOUNDAR,NIKHIL AND JAY SAVE THE DAY,Reading Challenge,1,9781913074623,Nikhil And Jay Save The Day,Chitra Soundar,Nikhil and Jay,2021,en,http://books.google.com/books/content?id=2UhzzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=2UhzzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
SONALI SHAH AND CHAAYA PRABHAT,THE BEST DIWALI EVER,Reading Challenge,1,9780702303302,The Best Diwali Ever (PB),Sonali Shah,Unknown,2021,en,Unknown,Unknown,1
Saadia Faruqi,YASMIN The Doctor,Reading Challenge,1,9781398248113,Yasmin The Doctor,SAADIA. FARUQI,Raintree,2023,en,http://books.google.com/books/content?id=EXCXEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=EXCXEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
Jordan Stephens and Beth Suzanna,The Missing Piece,Reading Challenge,1,9781526618139,The Missing Piece,Jordan Stephens,Bloomsbury Publishing,2022,en,http://books.google.com/books/content?id=Z6CCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Z6CCEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
Dawn Coulter-Cruttenden,Bear Shaped,Reading Challenge,1,9780192772114,Bear Shaped,Dawn Coulter-Cruttenden,Unknown,2020,en,http://books.google.com/books/content?id=mDSvxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=mDSvxwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Tom Percival,Milo's Monster,Reading Challenge,1,9781526613028,Milo's Monster - A Big Bright Feelings Book,Tom Percival,Bloomsbury Publishing,2022,en,http://books.google.com/books/content?id=3pZ8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=3pZ8EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
Kate Milner,It's a No Money Day,Reading Challenge,1,9781781128817,It's A No-Money Day,Kate Milner,Unknown,2019,en,http://books.google.com/books/content?id=JotoxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=JotoxwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Nadia Shireen,Billy and the Beast,Reading Challenge,1,9781780080680,Billy And The Beast,Nadia Shireen,National Geographic Books,2018,en,http://books.google.com/books/content?id=ItuQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=ItuQEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Lou John and Jenny Bloomfield,The Worry Jar,Reading Challenge,1,9780192782748,The Worry Jar,Lou John,Unknown,2023,en,http://books.google.com/books/content?id=qk1WzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=qk1WzwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Jane Porter,The Girl Who Noticed Everything,Reading Challenge,1,9781406398144,The Girl Who Noticed Everything,Jane Porter,Unknown,2022,en,http://books.google.com/books/content?id=kSz5zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=kSz5zgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Rob Kearney and Eric Rosswood,Strong,Reading Challenge,1,9780316292900,Strong,Rob Kearney & Eric Rosswood,Unknown,2022,en,http://books.google.com/books/content?id=X9tkzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=X9tkzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Pamela Butchart,Jeremy worried about the wind,Reading Challenge,1,9781788007757,Jeremy Worried About The Wind,Pamela Butchart,Unknown,2020,en,http://books.google.com/books/content?id=naa-zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=naa-zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Arree Chung,MIXED,Reading Challenge,1,9781509871346,Mixed - An Inspiring Story About Colour,Arree Chung,MacMillan Children's Books,2018,en,http://books.google.com/books/content?id=hXCEtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=hXCEtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Lucy Rowland,Wanda's words got stuck,Reading Challenge,1,9781788006811,Wanda's Words Got Stuck,Lucy Rowland,Unknown,2020,en,http://books.google.com/books/content?id=0aKyzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=0aKyzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Joseph Coelho,My Beautiful Voice,Reading Challenge,1,9780711248304,My Beautiful Voice,Joseph Coelho,Unknown,2021,en,http://books.google.com/books/content?id=opM2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=opM2EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
Nathan Bryon,Clean Up!,Reading Challenge,1,9780241345894,Clean Up!,Nathan Bryon,Puffin,2020,en,http://books.google.com/books/content?id=IBScygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=IBScygEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
John Robert Allman,Boys Dance,Reading Challenge,1,9780593181157,Boys Dance! (American Ballet Theatre),John Robert Allman,National Geographic Books,2020,en,http://books.google.com/books/content?id=dyKOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=dyKOEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Steve Antony,Amazing,Reading Challenge,1,9781444944709,Amazing,Steve Antony,Hachette Children's,2020,en,http://books.google.com/books/content?id=W9PetAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=W9PetAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Hannah Lee,The Rapping Princess,Reading Challenge,1,9780571361144,The Rapping Princess,Hannah Lee,Unknown,2021,en,http://books.google.com/books/content?id=AcMhzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=AcMhzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Debbie Zapata,Up and Adam,Reading Challenge,1,9781525304415,Up And Adam,Debbie Zapata,Kids Can Press Ltd,2022,en,http://books.google.com/books/content?id=Wj9KEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Wj9KEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
Gaia Cornwall,Jabari Jumps,Reading Challenge,1,9781406374292,Jabari Jumps,Gaia Cornwall,Unknown,2017,en,http://books.google.com/books/content?id=p50eMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=p50eMQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Isabelle Marinov,Leo and the Octopus,Reading Challenge,1,9781787416550,Leo And The Octopus,Isabelle Marinov,Unknown,2021,en,http://books.google.com/books/content?id=eHzazQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=eHzazQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Fiona Barker,Setsuko and the song of the sea,Reading Challenge,1,9781910265949,Setsuko And The Song Of The Sea,Fiona Barker,Unknown,2021,en,Unknown,Unknown,1
Lupita Nyong'o,Sulwe,Reading Challenge,1,9781534425361,Sulwe,Lupita Nyong'o,Simon & Schuster Books for Young Readers,2019,en,http://books.google.com/books/content?id=xx-wDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=xx-wDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1
Nathan Bryan,Look up,Reading Challenge,1,9789124199319,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Dr Shini Somara and Nadiya Sarell,CODER LIKE me,Reading Challenge,2,9781526362056,A Coder Like Me,Dr Shini Somara,Wren & Rook,2021,en,http://books.google.com/books/content?id=iCu-zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=iCu-zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
SARAH S. BRANNEN AND LUCIA SOTO,UNCLE BOBBY'S WEDDING,Reading Challenge,2,9781444960938,Uncle Bobby's Wedding,Sarah Brannen,Hodder Children's Books,2021,en,http://books.google.com/books/content?id=LNW9zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=LNW9zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Floella Bengamin and Diane Ewen,Coming to England,Reading Challenge,2,9781529009422,Coming To England - Picture Book Edition,Floella Benjamin,Macmillan Children's Books,2021,en,http://books.google.com/books/content?id=Ep3FzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=Ep3FzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Rashmi Sirdeshpande and Diane Even,NEVER Let a DIPLODOCULUS,Reading Challenge,2,9780241562512,Never Let A Diplodocus Draw,Rashmi Sirdeshpande,National Geographic Books,2022,en,http://books.google.com/books/content?id=3seMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=3seMEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
MALALA YOUSAZAI AND KERASCOET,Malala's magic pencil,Reading Challenge,2,9780241322574,Malala's Magic Pencil,Malala Yousafzai,Puffin Books,2019,en,http://books.google.com/books/content?id=DFKlvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=DFKlvAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Sojung Kim -McCarthy and Polly Ho-Yen,The Boy Who Grew A Tree,Reading Challenge,2,9781913311308,BOY WHO GREW A TREE,POLLY HO-YEN,Unknown,2022,en,Unknown,Unknown,1
JAKE ALEXANDER,WE WANT OUR BOOKS,Reading Challenge,2,9781529049022,We Want Our Books - Rosa's Fight To Save The Library,Jake Alexander,Unknown,2021,en,http://books.google.com/books/content?id=nD24EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=nD24EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
DAVID KING AND RHIANNON ARCHARD,Sir Adam THE BRAVE and the Moody Monsters,Reading Challenge,2,9781844886258,Sir Adam The Brave And The Moody Monsters,David King,National Geographic Books,2022,en,http://books.google.com/books/content?id=-gqREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=-gqREAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Naomi Jones and James Jones,THE PeRFECT FIT,Reading Challenge,2,9780192774613,The Perfect Fit,Naomi Jones & James Jones,Unknown,2020,en,http://books.google.com/books/content?id=Gh0FzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=Gh0FzAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Richard O' Neill and CINDY Kang,The CAN CARAVAN,Reading Challenge,2,9781786286147,The Can Caravan,Richard O'Neill,Travellers Tales,2022,en,http://books.google.com/books/content?id=vVaxzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=vVaxzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
