Author,Book,Category,Year
Sarah Hagger Holt,Nothing ever happens here,Reading Challenge,6
Elle McNicoll,Show us who you are,Reading Challenge,6
Sharana Jackson,Happy Here,Reading Challenge,6
Kereen Getten,When life gives you mangoes,Reading Challenge,6
Jo Cotterill,A storm of strawbwrries,Reading Challenge,6
Eve Wersocki Morris,The bird singers,Reading Challenge,6
Nina Hamza,Ahmed Aziz's epic year,Reading Challenge,6
Rosie Jones,The amazing Edie Eckhart,Reading Challenge,6
Zillah Bethell,The shark caller,Reading Challenge,6
Jo Cotterill,Jelly,Reading Challenge,6
Eve Ainsworth,All to play for,Reading Challenge,6
Sita Brahmachari,Where the riverruns gold,Reading Challenge,6
Dave McKean,SF said tyger,Reading Challenge,6
Jerry Craft,New kid,Reading Challenge,6
Joseph Coelho,Overheard in a tower block,Reading Challenge,6
Onjali Q. Rauf,The night bus hero,Reading Challenge,6
Lisa Thompson,The goldfish boy,Reading Challenge,6
Jason Reynolds,Look both ways,Reading Challenge,6
Anne-Marie Conway,How to be more hedgehog,Reading Challenge,6
Patience Agbabi,The infinite,Reading Challenge,6
Steward Foster,All the things that would go wrong,Reading Challenge,6
Polly ho-yen,Boy in the tower,Reading Challenge,6
JUSTIN A.reynolds,Miles Morales shock waves,Reading Challenge,6
Phil Earle,While the Storm Rages,Reading Challenge,6
Varsha Shah,Ajay and the Mumbai Sun,Reading Challenge,6
Libby Scott,Do you know me?,Reading Challenge,6
Robert Swindles,Room 13,Reading Challenge,6
Julie Pike,The last spell breather,Reading Challenge,6
